City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,59.32,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Hokitika,NZ,67.71,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
4,Busselton,AU,77.09,clear sky,-33.65,115.3333,Observatory Guest House
5,Isangel,VU,78.91,drizzle,-19.55,169.2667,Tanna Lodge
7,Barra Do Garcas,BR,71.82,light rain,-15.89,-52.2567,Hotel Pousada Tropical
8,Lebu,CL,58.41,clear sky,-37.6167,-73.65,Hostal Las Lilas
9,Lasa,IT,47.66,few clouds,46.6166,10.7002,Pension Feldgärtenhof
10,Castro,BR,59.86,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
12,Nkowakowa,ZA,60.85,overcast clouds,-23.8878,30.2871,Moytel 966A Guest House & Spa
13,Saint-Philippe,RE,76.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Rikitea,PF,76.98,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Bundaberg,AU,87.22,broken clouds,-24.85,152.35,Takalvan Motel
17,Kapaa,US,80.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Husavik,IS,33.71,overcast clouds,66.0449,-17.3389,Bjarnabúð
19,Constitucion,CL,58.39,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
20,Alyangula,AU,85.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
21,Ushuaia,AR,44.26,light rain,-54.8,-68.3,Albatross Hotel
22,Kandava,LV,37.33,overcast clouds,57.0409,22.7747,Tourism and Relaxation Centre Plosti
23,Vanimo,PG,80.26,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
24,Faya,SA,52.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
25,Kaitangata,NZ,56.28,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
27,Singleton,AU,83.44,broken clouds,-32.5667,151.1833,Quest Singleton
30,Passo De Camaragibe,BR,78.35,overcast clouds,-9.2368,-35.4901,Chácara vovó candinha
33,Loreto,MX,59.95,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
34,Sao Joao Da Barra,BR,75.88,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
35,Chuy,UY,65.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
36,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
38,Torbay,CA,40.28,heavy intensity rain,47.6666,-52.7314,Gallows Cove
41,Mahibadhoo,MV,81.57,scattered clouds,3.7833,72.9667,Omadhoo Inn
42,Mar Del Plata,AR,73.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
44,Saint-Pierre,RE,76.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
45,Port Hedland,AU,89.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
46,Saint-Joseph,RE,75.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
47,Peniche,PT,56.68,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
48,Wanganui,NZ,76.73,clear sky,-39.9333,175.05,Aotea Motor Lodge
49,Mataura,NZ,56.73,overcast clouds,-46.1927,168.8643,Ellie's Villa
50,Iracoubo,GF,75.83,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
51,Gat,IL,49.41,clear sky,31.61,34.7642,OlusHome
52,Veraval,IN,65.75,clear sky,20.9,70.3667,Lords Inn Somnath
53,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
55,Faanui,PF,80.65,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
57,Donskoye,RU,33.93,snow,45.4552,41.9741,
58,Saint-Francois,FR,39.67,mist,46.4154,3.9054,Manoir Du Bonheur
59,Buraydah,SA,48.47,clear sky,26.326,43.975,فندق راحة السلام
60,Birao,CF,62.38,broken clouds,10.2849,22.7882,
62,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
63,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
64,Georgetown,MY,82.33,haze,5.4112,100.3354,Cititel Penang
65,San Lawrenz,MT,50.86,clear sky,36.0553,14.204,San Andrea Hotel
66,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
68,Laguna,US,60.66,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
71,Hilo,US,76.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
73,Calvinia,ZA,77.56,clear sky,-31.4707,19.776,Die Lemoenhuis
75,Pontes E Lacerda,BR,71.8,light rain,-15.2261,-59.3353,Hotel Bressan
76,Port Alfred,ZA,68.45,few clouds,-33.5906,26.891,The Halyards Hotel
77,Montelibano,CO,75.33,few clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
78,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
80,Morelia,MX,65.34,overcast clouds,19.7008,-101.1844,"Hotel Alameda Morelia, Centro Histórico"
82,Tuatapere,NZ,61.56,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
84,Kailua,US,80.15,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
86,Port Lincoln,AU,70.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
88,New Norfolk,AU,76.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
90,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
92,Marawi,PH,73.65,broken clouds,7.9986,124.2928,Derogongan Residence
93,Vao,NC,79.72,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
95,Russell,US,37.0,clear sky,32.3502,-85.1999,Macs
96,Taltal,CL,66.36,clear sky,-25.4,-70.4833,Residencial Karime
98,Tenabo,MX,68.0,clear sky,20.05,-90.2333,Hotel Mangrove King Fishing
99,Vaini,TO,81.77,light rain,-21.2,-175.2,Keleti Beach Resort
100,Porto Belo,BR,75.16,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
101,Tombouctou,ML,71.08,overcast clouds,20.0,-3.0,
103,Victoria,HK,56.17,broken clouds,22.2855,114.1577,Mini Hotel Central
106,Lixourion,GR,46.24,clear sky,38.2019,20.4314,Hotel Summery
107,Hithadhoo,MV,80.76,broken clouds,-0.6,73.0833,Scoop Guest House
108,Tezu,IN,50.05,clear sky,27.9167,96.1667,Circuit House
109,Rocha,UY,64.04,clear sky,-34.4833,-54.3333,Hotel Arrarte
110,San Quintin,MX,61.97,clear sky,30.4833,-115.95,Don Eddie's Landing
112,Makhinjauri,GE,37.26,overcast clouds,41.6739,41.694,Golden Anchor
113,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
115,Caraballeda,VE,82.47,few clouds,10.6112,-66.8522,Hotel 15 Letras
117,Bredasdorp,ZA,65.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
120,Constantine,DZ,33.21,clear sky,36.365,6.6147,Grand Hotel Cirta
121,Airai,TL,66.16,overcast clouds,-8.9266,125.4092,
122,Kaliua,TZ,66.22,overcast clouds,-5.0606,31.7936,Millennium Complex
