City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Bluff,-46.6,168.3333,59.32,87,100,7.52,NZ,2022-01-30 01:24:35,overcast clouds
1,Toktogul,41.8708,72.9402,22.6,72,36,2.8,KG,2022-01-30 01:25:26,scattered clouds
2,Jamestown,42.097,-79.2353,4.71,85,0,8.05,US,2022-01-30 01:24:19,clear sky
3,Hokitika,-42.7167,170.9667,67.71,61,79,9.42,NZ,2022-01-30 01:24:40,broken clouds
4,Busselton,-33.65,115.3333,77.09,60,7,13.0,AU,2022-01-30 01:19:43,clear sky
5,Isangel,-19.55,169.2667,78.91,94,100,6.91,VU,2022-01-30 01:24:37,drizzle
6,Atyrau,47.1167,51.8833,23.02,93,75,6.71,KZ,2022-01-30 01:25:27,mist
7,Barra Do Garcas,-15.89,-52.2567,71.82,96,100,4.32,BR,2022-01-30 01:25:27,light rain
8,Lebu,-37.6167,-73.65,58.41,88,0,9.04,CL,2022-01-30 01:22:09,clear sky
9,Lasa,46.6166,10.7002,47.66,81,15,9.01,IT,2022-01-30 01:15:41,few clouds
10,Castro,-24.7911,-50.0119,59.86,99,100,6.51,BR,2022-01-30 01:24:43,overcast clouds
11,Saskylakh,71.9167,114.0833,-19.82,100,100,3.78,RU,2022-01-30 01:21:25,overcast clouds
12,Nkowakowa,-23.8878,30.2871,60.85,89,100,1.19,ZA,2022-01-30 01:25:28,overcast clouds
13,Saint-Philippe,-21.3585,55.7679,76.55,83,75,10.29,RE,2022-01-30 01:25:28,broken clouds
14,Rikitea,-23.1203,-134.9692,76.98,71,100,8.48,PF,2022-01-30 01:24:29,overcast clouds
15,Kendallville,41.4414,-85.265,15.28,69,100,4.61,US,2022-01-30 01:25:29,overcast clouds
16,Bundaberg,-24.85,152.35,87.22,66,75,3.0,AU,2022-01-30 01:25:29,broken clouds
17,Kapaa,22.0752,-159.319,80.11,66,20,3.0,US,2022-01-30 01:24:40,few clouds
18,Husavik,66.0449,-17.3389,33.71,80,100,17.29,IS,2022-01-30 01:25:09,overcast clouds
19,Constitucion,-35.3333,-72.4167,58.39,93,45,8.39,CL,2022-01-30 01:17:14,scattered clouds
20,Alyangula,-13.8483,136.4192,85.87,74,100,14.97,AU,2022-01-30 01:25:30,overcast clouds
21,Ushuaia,-54.8,-68.3,44.26,87,100,0.0,AR,2022-01-30 01:21:32,light rain
22,Kandava,57.0409,22.7747,37.33,96,100,16.15,LV,2022-01-30 01:25:30,overcast clouds
23,Vanimo,-2.6741,141.3028,80.26,80,100,9.48,PG,2022-01-30 01:18:37,overcast clouds
24,Faya,18.3851,42.4509,52.32,83,4,5.32,SA,2022-01-30 01:25:30,clear sky
25,Kaitangata,-46.2817,169.8464,56.28,96,100,5.35,NZ,2022-01-30 01:16:35,overcast clouds
26,Saint-Ambroise,48.5501,-71.3324,-1.66,90,100,4.68,CA,2022-01-30 01:25:13,overcast clouds
27,Singleton,-32.5667,151.1833,83.44,71,73,5.88,AU,2022-01-30 01:25:31,broken clouds
28,Clyde River,70.4692,-68.5914,-7.37,77,100,5.75,CA,2022-01-30 01:25:31,light snow
29,Tawang,27.5833,91.8667,21.76,64,25,6.87,IN,2022-01-30 01:25:32,scattered clouds
30,Passo De Camaragibe,-9.2368,-35.4901,78.35,78,100,2.86,BR,2022-01-30 01:25:32,overcast clouds
