City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-01-29 02:20:38,-23.1203,-134.9692,78.17,69,99,14.09
1,Avarua,CK,2022-01-29 02:20:38,-21.2078,-159.775,80.65,78,75,8.05
2,Fredericton,CA,2022-01-29 02:18:33,45.9454,-66.6656,11.37,85,0,1.01
3,Bluff,NZ,2022-01-29 02:20:38,-46.6,168.3333,68.81,60,88,6.78
4,Taikang,CN,2022-01-29 02:20:39,46.8333,124.4167,7.61,75,26,8.21
5,Port Alfred,ZA,2022-01-29 02:20:01,-33.5906,26.891,66.52,79,83,6.51
6,Kulautuva,LT,2022-01-29 02:20:39,54.9333,23.6,32.68,76,81,11.95
7,Mataura,NZ,2022-01-29 02:20:39,-46.1927,168.8643,68.49,23,99,7.83
8,Carnarvon,AU,2022-01-29 02:20:40,-24.8667,113.6333,87.87,51,2,12.66
9,Mount Isa,AU,2022-01-29 02:20:40,-20.7333,139.5,76.77,94,75,13.8
10,Jamestown,US,2022-01-29 02:18:55,42.097,-79.2353,15.12,78,100,9.22
11,Simao,CN,2022-01-29 02:20:41,22.7886,100.9748,58.68,52,4,2.42
12,Alexandria,EG,2022-01-29 02:17:34,31.2156,29.9553,53.96,73,7,8.77
13,Yulara,AU,2022-01-29 02:20:41,-25.2406,130.9889,89.44,37,87,17.27
14,Asau,RO,2022-01-29 02:20:41,46.4333,26.4,31.28,92,67,4.29
15,Ribeira Grande,PT,2022-01-29 02:20:42,38.5167,-28.7,58.64,61,81,7.52
16,Tasiilaq,GL,2022-01-29 02:20:42,65.6145,-37.6368,12.36,70,43,6.35
17,Aswan,EG,2022-01-29 02:20:42,24.0934,32.907,45.75,48,0,10.09
18,Imeni Poliny Osipenko,RU,2022-01-29 02:20:42,52.4201,136.4853,-14.28,90,37,1.21
19,Kiruna,SE,2022-01-29 02:20:43,67.8557,20.2251,0.52,85,34,4.61
20,Te Anau,NZ,2022-01-29 02:20:43,-45.4167,167.7167,72.03,38,98,8.16
21,Yanam,IN,2022-01-29 02:20:43,16.7333,82.2167,75.6,77,71,4.68
22,Porto Novo,BJ,2022-01-29 02:20:44,6.4965,2.6036,78.62,84,2,3.04
23,Khatanga,RU,2022-01-29 02:20:44,71.9667,102.5,-4.65,89,100,6.04
24,Tautira,PF,2022-01-29 02:20:44,-17.7333,-149.15,84.22,75,18,15.77
25,Hobart,AU,2022-01-29 02:19:50,-42.8794,147.3294,68.27,68,75,14.97
26,Vikhorevka,RU,2022-01-29 02:20:45,56.1201,101.1636,-9.76,100,92,1.97
27,Cabo San Lucas,MX,2022-01-29 02:20:45,22.8909,-109.9124,72.52,60,0,4.0
28,Georgetown,MY,2022-01-29 02:19:27,5.4112,100.3354,85.93,80,20,1.99
29,Malatya,TR,2022-01-29 02:20:46,38.5,38.0,12.25,86,75,4.61
30,Salalah,OM,2022-01-29 02:20:46,17.0151,54.0924,71.69,46,0,9.22
31,Punta Arenas,CL,2022-01-29 02:20:46,-53.15,-70.9167,60.91,31,0,3.44
32,Tual,ID,2022-01-29 02:16:43,-5.6667,132.75,84.34,71,95,13.22
33,Mehamn,NO,2022-01-29 02:20:47,71.0357,27.8492,23.65,64,100,4.32
34,Lorengau,PG,2022-01-29 02:20:47,-2.0226,147.2712,81.61,79,99,2.98
35,Kavieng,PG,2022-01-29 02:20:47,-2.5744,150.7967,83.59,72,100,4.83
36,Esperance,AU,2022-01-29 02:20:48,-33.8667,121.9,76.77,44,0,8.19
37,Hasaki,JP,2022-01-29 02:20:48,35.7333,140.8333,45.28,69,100,6.15
38,Coihaique,CL,2022-01-29 02:20:48,-45.5752,-72.0662,69.75,35,0,10.36
39,Kahului,US,2022-01-29 02:17:12,20.8947,-156.47,82.42,57,20,14.97
40,Gravdal,NO,2022-01-29 02:20:49,68.1214,13.5031,28.94,66,100,23.73
41,Atuona,PF,2022-01-29 02:20:49,-9.8,-139.0333,77.59,77,0,12.77
42,Sitka,US,2022-01-29 02:20:49,57.0531,-135.33,42.69,81,100,19.57
43,Puerto Ayora,EC,2022-01-29 02:20:50,-0.7393,-90.3518,72.93,87,49,6.91
44,Marsa Matruh,EG,2022-01-29 02:20:50,31.3525,27.2453,53.1,68,6,10.74
45,Mizdah,LY,2022-01-29 02:18:12,31.4451,12.9801,42.13,50,0,6.89
46,Puerto Ayacucho,VE,2022-01-29 02:21:50,5.6639,-67.6236,79.0,41,83,7.45
47,Tura,IN,2022-01-29 02:21:51,25.5198,90.2201,55.56,50,0,2.42
48,Tongliao,CN,2022-01-29 02:17:59,43.6125,122.2653,9.7,76,0,8.63
49,Puerto Escondido,MX,2022-01-29 02:21:51,15.85,-97.0667,81.43,69,75,0.0
50,Hilo,US,2022-01-29 02:17:23,19.7297,-155.09,78.53,71,100,9.22
51,Ushuaia,AR,2022-01-29 02:19:29,-54.8,-68.3,51.46,82,75,6.91
52,Kaeo,NZ,2022-01-29 02:21:52,-35.1,173.7833,73.33,65,100,13.67
53,Bredasdorp,ZA,2022-01-29 02:21:52,-34.5322,20.0403,61.29,88,94,4.61
54,Zverinogolovskoye,RU,2022-01-29 02:21:14,54.4586,64.8542,5.52,89,100,5.35
55,Bengkulu,ID,2022-01-29 02:21:53,-3.8004,102.2655,79.07,79,100,1.9
56,East London,ZA,2022-01-29 02:19:53,-33.0153,27.9116,66.25,78,1,9.51
57,Wukari,NG,2022-01-29 02:21:53,7.85,9.7833,75.79,23,99,9.93
58,Yellowknife,CA,2022-01-29 02:21:53,62.456,-114.3525,-5.58,88,20,6.91
59,Shimoda,JP,2022-01-29 02:21:54,34.6667,138.95,48.56,54,93,2.68
60,Hervey Bay,AU,2022-01-29 02:21:54,-25.2986,152.8535,89.04,65,3,8.99
61,Busselton,AU,2022-01-29 02:21:54,-33.65,115.3333,91.04,41,97,6.35
62,Saint-Philippe,RE,2022-01-29 02:21:55,-21.3585,55.7679,72.99,76,0,4.81
63,Mulchen,CL,2022-01-29 02:21:55,-37.7167,-72.2333,64.54,68,0,0.47
64,Vaini,TO,2022-01-29 02:21:12,-21.2,-175.2,82.72,78,100,17.58
65,Cape Town,ZA,2022-01-29 02:19:52,-33.9258,18.4232,65.88,69,0,4.0
66,Aklavik,CA,2022-01-29 02:21:55,68.2191,-135.0107,-17.57,90,6,5.75
67,Nanortalik,GL,2022-01-29 02:19:15,60.1432,-45.2371,27.18,81,100,15.39
68,Barrow,US,2022-01-29 02:21:56,71.2906,-156.7887,-7.58,71,100,13.8
69,Lagoa,PT,2022-01-29 02:21:07,39.05,-27.9833,57.88,58,17,13.24
70,Albany,US,2022-01-29 02:21:56,42.6001,-73.9662,21.61,73,100,3.0
71,Dwarka,IN,2022-01-29 02:21:56,22.2394,68.9678,66.09,52,0,9.19
72,Georgiyevka,KZ,2022-01-29 02:21:57,43.0369,74.7114,30.24,80,40,11.18
73,Narsaq,GL,2022-01-29 02:21:57,60.9167,-46.05,19.62,94,100,4.09
74,Sonamukhi,IN,2022-01-29 02:21:57,23.3,87.4167,57.6,62,2,6.13
75,Maragogi,BR,2022-01-29 02:21:58,-9.0122,-35.2225,78.4,79,100,9.78
76,Hithadhoo,MV,2022-01-29 02:21:58,-0.6,73.0833,80.46,67,35,8.46
